"numeroEvento","fechaInicio","fechaFin","duracionMinutos","codigoEstacionMayorAcumulado","valorMayorAcumulado","codigoEstacionMayorIntensidad","valorMayorIntensidad"
0,2021-09-08 10:40:00.000,2021-09-08 15:30:00.000,290.000000000000000,39,38.610000000000000,39,176.780000000000000
1,2012-07-23 21:30:00.000,2012-07-24 00:30:00.000,180.000000000000000,,-9999.000000000000000,-9999,-9999.000000000000000
2,2012-07-30 18:00:00.000,2012-07-30 19:15:00.000,75.000000000000000,58,15.000000000000000,2,3.800000000000000
3,2012-08-01 23:10:00.000,2012-08-02 01:00:00.000,110.000000000000000,6,9.900000000000000,6,3.000000000000000
4,2012-08-03 18:30:00.000,2012-08-03 19:05:00.000,35.000000000000000,63,12.000000000000000,63,16.800000000000000
5,2012-08-03 22:15:00.000,2012-08-04 00:00:00.000,105.000000000000000,65,12.000000000000000,65,19.200000000000000
6,2012-08-04 13:50:00.000,2012-08-04 14:55:00.000,65.000000000000000,70,14.200000000000000,46,44.400000000000000
7,2012-08-04 17:00:00.000,2012-08-04 19:50:00.000,170.000000000000000,57,45.000000000000000,57,72.000000000000000
8,2012-08-04 20:40:00.000,2012-08-04 22:00:00.000,80.000000000000000,19,7.900000000000000,50,36.000000000000000
9,2012-08-05 00:00:00.000,2012-08-05 02:30:00.000,150.000000000000000,36,17.000000000000000,36,32.000000000000000
10,2012-08-05 23:35:00.000,2012-08-06 02:30:00.000,175.000000000000000,30,9.700000000000000,70,15.000000000000000
11,2012-08-06 14:25:00.000,2012-08-06 15:05:00.000,40.000000000000000,57,11.200000000000000,57,24.000000000000000
12,2012-08-06 14:55:00.000,2012-08-06 15:30:00.000,35.000000000000000,43,11.700000000000000,43,74.400000000000000
13,2012-08-08 13:00:00.000,2012-08-08 16:05:00.000,185.000000000000000,34,40.100000000000000,34,90.000000000000000
14,2012-08-12 16:30:00.000,2012-08-12 19:35:00.000,185.000000000000000,3,27.200000000000000,3,108.000000000000000
15,2012-08-13 11:30:00.000,2012-08-13 13:10:00.000,100.000000000000000,52,6.300000000000000,49,33.600000000000000
16,2012-08-13 14:40:00.000,2012-08-13 15:20:00.000,40.000000000000000,50,13.200000000000000,50,80.400000000000000
17,2012-08-13 16:30:00.000,2012-08-13 17:30:00.000,60.000000000000000,66,30.000000000000000,66,26.400000000000000
18,2012-08-13 18:30:00.000,2012-08-13 20:40:00.000,130.000000000000000,1,22.900000000000000,65,108.000000000000000
19,2012-08-13 22:30:00.000,2012-08-14 02:25:00.000,235.000000000000000,47,22.600000000000000,61,72.000000000000000
20,2012-08-14 13:35:00.000,2012-08-14 16:05:00.000,150.000000000000000,50,25.100000000000000,52,72.000000000000000
21,2012-08-14 19:40:00.000,2012-08-14 22:30:00.000,170.000000000000000,5,20.100000000000000,72,84.000000000000000
22,2012-08-16 21:15:00.000,2012-08-16 23:30:00.000,135.000000000000000,15,15.500000000000000,72,72.000000000000000
23,2012-08-17 23:45:00.000,2012-08-18 03:30:00.000,225.000000000000000,52,25.500000000000000,54,25.200000000000000
